аналитик аналитиков
брать берут
быстро быстро
вырасти выросла
газета газета
говориться говорится
год года году
госуслуга госуслуги
данные данных
действовать действующим
доля доля
ещё ещё
заявка заявок
заём займы
заёмщик заёмщиков
издание издание
инженерия инженерию
использование использования
квартал квартале кварталом
компания компании
компрометация компрометацию
конец конце концу
кредит кредитам кредиты
кредитный кредитные
лицо лицу
можно можно
мошенник мошенников
мошеннический мошеннических
мфц мфц
мы мы
наметиться наметился
новогодний новогодними
обращаться обращаются
ожидать ожидаем
он его
оставаться остаётся
отменить отменить
позволить позволят
получить получили
пользовательский пользовательских
потребитель потребителей
почти почти
предупреждать предупреждает
препятствие препятствием
простой проще
прошлое прошлого
публикация публикации
ранее ранее
расход расходами
россия россии
россиянин россияне
рост роста
самозапрет самозапрет самозапретом
связывать связывают
сделать сделать
сезонный сезонным
серьёзный серьёзным
следовать следует
сложный сложных
снимать снимают снимая
снятие снятию
сообщать сообщает
социальный социальную
спрос спросом
сравнение сравнению
средство средства
стать стало
сторонний стороннему
схема схем
такой таких
только только
требование требования
тренд тренд
третий третьем третьим
треть треть
усилиться усилился
установленный установленный
устройство устройств
частый чаще
это этом
