авиабилет авиабилетов
авиасейлс авиасейлс
агрегатор агрегатора
актив активов
акционер акционеры
альфа альфа
банк банка банке банки
барьер барьером
бизнес бизнеса
вести ведут
владение владения
владеть владеющие
возможность возможность
высокий высокая
готовить готовят
доля доля долями
дёшево дешево
ещё ещё
заинтересоваться заинтересоваться
затруднять затрудняет
значительный значительная
издание издания
илья илья
инвестбанкир инвестбанкир
инвестиционный инвестиционных
инвестфонд инвестфонды
интересант интересантов
информация информацию
исключать исключает
источник источник источника
коммерсантъ коммерсантъ
компания компании
конкретный конкретных
круг кругах
крупный крупнейшего крупные
менеджмент менеджмент
менее менее
млн млн
млрд млрд
мочь могут
наличие наличие
находиться находится
нет нет
объективный объективную
один один
они их
опровергать опровергали
организация организаций
основный основными
отмечать отмечая
оценивать оценивает
оценка оценку
переговоры переговорах переговоров переговоры
переориентироваться переориентируется
подготовка подготовки
поисковик поисковика
пока пока
покупатель покупателей покупателями
покупка покупке
потенциальный потенциальными
предел пределами
предложение предложения
пресс пресс
приобретение приобретением
продажа продаже продажи продажу
продать продадут
процесс процесс
ранее ранее
рассматривать рассматривают
российский российского
россия россии
рубеж рубежом
рубль рублей
сервис сервиса
сказать сказали
слово словам
сложный сложная
служба службе
собеседник собеседник
собирать собирать
собственник собственники
сообщаться сообщалось
сообщить сообщили
стадия стадии
стать стать
стоимость стоимость
структура структура
существенный существенная
считать считает
тут туту
финансовый финансовых
шум шумов
экосистема экосистемы
этот эту
