активный активной
быть были
весь всех
викторов викторов
вынудить вынуждены
говориться говорится
голосовой голосового голосовые голосовых
гражданин гражданами
жкх жкх
информационный информационного
клиент клиентами
колл колл
коллизия коллизию
компания компаний
который которая
кто кем
мат мата мату
михаил михаил
моделирование моделирования
мочь может
набраться наберёшься
научиться научилась
национальный национального
нейросеть нейросети нейросеть
обращение обращений
общаться общалась
объединение объединения
он его
организация организаций
отечественный отечественного
отучить отучить
передавать передаёт
повестись поведёшься
подчеркнуть подчеркнул
позволять позволяют
показатель показатель
президент президент
прийтись пришлось
принимать принимают
прокомментировать прокомментировал
работа работы
работать работать
раз раз
разработчик разработчики
рассказать рассказал
результат результат
робот робота роботов роботы
русский русского русскому
себя себя
сказать сказал
слово словам
сократить сократить
сфера сфере
такой такой
тасс тасс
технология технологий
тот того
управлять управляющих
устранять устранять
центр центров
человек человек
штат штат
