бескомпромиссный бескомпромиссную
быть будет быть
власть властей властями
возможность возможность
возобновление возобновление
вступить вступит
выполнять выполнять
готовый готовым
дать дал
диалог диалог диалогу
дмитрий дмитрий
договориться договориться
должный должны
достаточно достаточно
законодательство законодательство
занимать занимать
запретить запрещённой
зачем зачем
заявить заявил
иностранный иностранному
какой каких
корпорация корпорация
мессенджер мессенджера мессенджеру
неготовность неготовность
нет нет
нужно нужно
объяснить объяснил
он его он
она она
организация организацией
ориентироваться ориентироваться
остаться остаться
оценка оценку
песок песков
позиция позицию
полноценный полноценной
полный полную
появиться появится
президент президента
пресс пресс
признанный признанной
принадлежать принадлежит
происходить происходящему
прокомментировать прокомментировал
проявлять проявлять
работа работы
разблокировка разблокировку
ранее ранее
рассказать рассказал
российский российскими российское
россия россии
рф рф
свой свою
секретарь секретарь
слово словам
соблюдать соблюдать
считать считает
такой такую
тогда тогда
требование требования
условие условиях
шанс шансов
экстремистский экстремистской
