аккумулятор аккумулятора
белый белом
беспроводный беспроводной
более более
больший большего
быть будет
вариант вариантах
версия версии версия
весь всей всех
встроить встроенного встроенных
вт вт
габарит габариты
гб гб
год года
грамм граммов
грядущий грядущих
гц гц
диагональ диагональ
диафрагма диафрагмой
дисплей дисплей
должный должно
доступный доступен
евро евро
европа европе
европестартовый европестартовая
запланировать запланирована
зарядка зарядки
захват захвата
защита защиту
зум зумом
известный известны
изменение изменений
инсайд инсайдами
камера камера камеру
качество качество
ключевой ключевые
количество количества
конфигурация конфигурации
коротко коротко
кратное кратным
линейка линейки
ма ма
магнит магнитов
масса массе
младший младшие
модель модели
модуль модуль
мощность мощность
мп мп
накопитель накопителя
немецкий немецкий
немного немного
новинка новинку
новый нового
ночной ночных
обеспечить обеспечит
обновление обновления
объектив объектив
объём объём
оперативный оперативной
оптический оптическим
основной основной
особенность особенности
официальный официальная
память памяти
пиксель пикселей
питание питание
поделиться поделился
поколение поколения
получить получит
почти почти
предложить предложат
предусмотреть предусмотрен
прежний прежних
премьера премьера
проводной проводной
продаваться продаваться
прокачать прокачают
процессор процессором
разрешение разрешением
ресурс ресурс
рубль рублей
свет света
светосильный светосильный
сенсор сенсор
серия серии
синий синем
смартфон смартфон смартфонов
снимок снимков
составить составит
сохранить сохранит
стать стали
стекло стекло
стиль стиле
стоимость стоимость
существенный существенных
счёт счёт
тб тб
технический технические
традиционный традиционные
увеличение увеличением
увеличиться увеличится
улучшить улучшить
устройство устройств устройства
февраль февраля
фиолетовый фиолетовом
флагманский флагманского
характеристика характеристики
цвета цветах
ч ч
частота частотой
чёрный чёрном
экран экран
ёмкость ёмкость
