алексей алексею
важность важность
ведомость ведомости
ведомство ведомство
возникнуть возникла
володин володин
вопрос вопросом вопросу
встреча встрече
выразить выразил
вячеслав вячеслав
госдума госдумы
готовить готовьте
гражданин граждан
данные данным данных
день дни
депутат депутат депутату
жалоба жалобы
жаловаться жаловались
законность законности
законодательство законодательства
закрытый закрытой
замедление замедления
заседание заседания
защита защиты
заявить заявил
издание издания
инициатива инициатива
интернет интернет
источник источников
который которые
кпрф кпрф
куринном куринному
куринный куринный
массово массово
мессенджер мессенджера мессенджером
мошенничество мошенничеству
напомнить напомнил
начало начале
недовольство недовольство
необходимость необходимость
нижний нижней
обеспокоить обеспокоены
обратиться обратился
ограничение ограничений
основание оснований
отсутствие отсутствием
официальный официальных
оформить оформить
палата палаты
парламент парламента
персональный персональных
платформа платформам платформы
пленарный пленарного
подчеркнуть подчеркнул
пользователь пользователей пользователи
поручение поручение
порядок порядком
последний последние
правовой правовых
предложить предложил
председатель председателю
проблема проблемы
противодействие противодействия
протокольный протокольное
работа работе работы
размещение размещения
разъяснение разъяснений
рассмотреть рассмотрим
роскомнадзор роскомнадзор
российский российские российского
россия россии
русскоязычный русскоязычных
рф рф
сбой сбоев сбоями
сервер серверов
ситуация ситуации
сообщать сообщают
спикер спикер
ссылаться ссылался
территория территории
терроризм терроризму
технический технических
требование требованиях
указать указало
установленный установленным
февраль февраля
фон фоне
экстремизм экстремизму
это этом
этот этой
