большой больше
быть будет
вдвое вдвое
вызвать вызваны
вырасти выросла
высказаться высказался
государство государством
гражданин граждан
дать данные
день день
доля доля
дуров дуров
есть есть
ещё ещё
жаловаться жалуются
загрузка загрузке загрузку
западный западный
запрос запросов
заставить заставить
затронуть затронула
заявить заявил
издание изданием
информация информацией
источник источник
клиент клиента
код кода
коммерсантъ коммерсантъ
контролировать контролируемое
медиа медиа
медленный медленную
мера меры
напомнить напомним
направление направлении
независимый независимый
новый новом
обратно обратно
ограничение ограничений ограничения
ограничиваться ограничиваться
ограничительный ограничительные
один один
округа округи
основа основе
отечественный отечественных
отношение отношении
павел павел
пакет пакетов
перейти перейти
повод поводу
поделиться поделился
подтвердить подтвердил
позволять позволяет
политический политической
пользователь пользователи
приводить приводит
приложение приложение приложения
проблема проблема
программа программу
проект проект
путь пути
пытаться пытается
развивать развивать
разработчик разработчикам
ркн ркн
роскомнадзор роскомнадзор роскомнадзором
россия россия
рынок рынке
сбой сбои
свой своих
северо северо
сервер серверу
сервис сервиса
слежка слежки
создать созданное
стать стали
существующий существующего
таймаут таймаутом
теряться теряться
уже уже
узнать узнал
файл файлов
февраль февраля
федеральный федеральные
форк форк форков
цензура цензуры
центральный центральный
ъ ъ
это этим
этот этой
