блокировка блокировки
видео видео
власть власти
возможность возможность
время время
говориться говорится
голосовой голосовых
госдума госдумы
делаться делается
депутат депутаты
ещё ещё
загрузка загрузки
замедление замедлении замедлению замедления
замедлять замедлять
запретить запрещённый
значительно значительно
изменить изменили
изображение изображений
имущественный имущественным
информация информации
источник источник источника источники
каждый каждой
канал канале
комитет комитет
компания компании
комплекс комплекс
контент контент
коснуться коснулись
который который
медиафайл медиафайлов
мессенджер мессенджера
мочь могут
начало начале
начать начал начали начать
некоторый некоторое
обсуждать обсуждали
ограничение ограничения
ограничивать ограничивать
отказ отказ
отношение отношении отношениям
отправка отправки
петербургский петербургские
планировать планирует
повлиять повлиять
поздний позже
пока пока
пост пост
появиться появилось
провайдер провайдеры
программный программный
протокол протоколов
процесс процесс
работа работа работе работу работы
ранее ранее
рассказать рассказал
рбк рбк
роскомнадзор роскомнадзор
россия россии
ротонда ротонды
рынок рынке
сбой сбоев
свой своём
слово словам
собственный собственные
сообщение сообщение сообщении сообщений
сообщить сообщил сообщили
составить составлены
ссылка ссылкой
телек телеком
только только
тот том
увеличиться увеличилось
удалить удалить
установить установлен
утром утром
ухудшиться ухудшилась
частность частности
этот этот
