блокировка блокировка блокировки
вложить вложено
время времени
госдума госдумы
гражданин гражданами
данный данный
деньга денег
депутат депутат
должный должен
думать думает думаю
евгений евгений
ждать ждем
заседание заседаний заседаниях
заявление заявлений заявления
инструмент инструмент
канал канале
комитет комитета
контакт контактов
который который
кто кто
мессенджер мессенджера мессенджером
много много
момент момент
обсуждаться обсуждалась
объяснить объяснить
он его
официальный официальных
попов попов
последний последний
посмотреть посмотрим
происходить происходит
развитие развитие
регулятор регулятор
роскомнадзор роскомнадзора
россия россии
свой своём
сейчас сейчас
сила сил
слишком слишком
слово словам
сообщить сообщил
тема тема
уверенный уверен
это этого
этот этот
я я
