агент агентов
административный административной
аккаунт аккаунта
алакуртти алакуртти
быть был
василий василия
вид видом
видео видео
видный видны
вина вины
виновный виновным
включить включённым
владелец владельцу
вооружённый вооружённых
высокий высокую
гражданин гражданин
действие действия действиях
дискредитация дискредитацию
другой других
жительство жительство
иждивенец иждивенцев
иноагент иноагентов
иностранный иностранных
использование использования
йовдия йовдия
квалифицировать квалифицировал
ковдорский ковдорский
который которую
лайк лайки
лицо лицом
минюст минюста
мужчина мужчина мужчины
мурманский мурманской
назначение назначении
назначить назначен
наказание наказания
направить направленных
область области
обнаружить обнаружили
образ образом
общественный общественную
одобрительный одобрительную
он его ему
опасность опасность
опубликовать опубликованным
ответственность ответственности
отметка отметки
отображаться отображаются
отсутствие отсутствие
оштрафовать оштрафовали
пенсионер пенсионера
пограничный пограничное
пользователь пользователей
поставить поставил
постановление постановлению
представлять представляющими
привлекаться привлекался
признание признание
признать признал
проверка проверки
провести провело
публичный публичные публичных
размер размере
районный районный
ранее ранее
раскаяние раскаяние
реакция реакцию
реестр реестр
ролик роликами
рубль рублей
рф рф
село селе
сила сил
суд суд суда
счесть счёл
такой таким
теракт теракте
только только
тысяча тысяч
украина украины
управление управление
учесть учёл
фсб фсб
штраф штраф
