актив активы
аналитик аналитики
безопасность безопасности
биржа биржами
биткоин биткоинов
биткоина биткоина биткоины
вон вон
впервые впервые
вскоре вскоре
говорить говорили
год года
доверие доверия
другой другими
затронуть затронутых
защита защитой
заявить заявила
инвестор инвесторы
инцидент инцидент инцидента
кибератака кибератакой
клиент клиентов
компания компания
кризис кризисе
криптобиржа криптобиржа
криптовалюта криптовалюты
крупный крупные
курс курс
минута минут
млн млн
момент моменте
нарушение нарушением
находиться находятся
начать начали
некоторый некоторым
нестабильность нестабильности
нормализоваться нормализовались
ночь ночь
обнаружить обнаружив
ограничить ограничила
опросить опрошенные
опускаться опускалась
осень осени
отметить отметила
отметка отметке
отмечать отмечая
отправить отправила
ошибка ошибке
падение падению
площадка площадке
пользователь пользователей пользователям
попытаться попыталась
привести привело
примерно примерно
продать продать
промоакция промоакции
рамка рамках
ранее ранее
роль роли
рынок рынках рынке
связать связан
сомневаться сомневаться
сообщать сообщает
составлять составлял
сравнение сравнению
стоимость стоимость
сумма суммы
счёт счетах
течение течение
торговля торговлю
тысяча тысяч
убежище убежища
февраль февраля
фон фоне
фондовый фондовых
цена цены
часть часть
южнокорейский южнокорейская южнокорейских
