аналогия аналогии
антимонопольный антимонопольной
видеохостинг видеохостингов
власть власти
войти войти
вопрос вопросами
действовать действующим
доля доля
закон закона законе
закрепить закрепить
защита защите
использование использования
количество количество
конкуренция конкуренции
критерий критерии
максим максим
маркетплейс маркетплейсов
минимум минимум
мочь могут
необходимо необходимо
общий общие
озаботить озабочены
он он
они их них
отношение отношении
платформа платформ платформам
подросток подростками
полагать полагает
полностью полностью
положение положения
пользователь пользователей
предлагать предлагает
предусмотреть предусмотреть
применимый применимы
ранее ранее
ребёнок детьми
регулирование регулированием регулирования
российский российские
руководитель руководитель
рф рф
сделка сделок
сейчас сейчас
сетевой сетевые
сеть сетей
сказать сказал
служба служба службы
совершать совершаемых
сообщать сообщает
сообщаться сообщалось
социальный социальных
соцсеть соцсетей
специальный специальные
такой такие таким
тасс тасс
установить установить
фас фас
федеральный федеральной
цифровой цифровых
шаскольский шаскольский
этот эти
эффект эффекты
