базовый базовые
безопасность безопасности
белый белый
больший больших
большинство большинства
быть будет
введение введению
ввести ввести
ведомственный ведомственном
великобритания великобританией
весь всего
власть власти
внести внесут
второй вторая
газета газета
говориться говорится
госрегулирование госрегулирования
госуправление госуправлении
данные данных
дом дом
ес ес
её её
закон закон закона
зарубежный зарубежных
затрагивать затрагивающего
избыток избыток
издание издании
интеллект интеллекта
исключить исключив
искусственный искусственного
использование использованием
использоваться используются
ия ии
кнр кнр
коммерсант коммерсант
компания компании
концепция концепцию
который которых
либеральный либеральных
лидерство лидерства
медицина медицине
мир мира мире
модель моделей
мочь может
мягкий мягкого
наиболее наиболее
напомнить напомнили
нет нет
обеспечить обеспечила
оборона обороне
обучить обучена
ограничивать ограничивать
один один
он его
опасаться опасаются
остальной остальном
открытый открытых
отмечать отмечает
отношение отношений
писать пишет
подход подход
пока пока
понятие понятия
поэтому поэтому
правительство правительство
предполагаться предполагается
привести привести
применение применении
продукт продуктов
проект проект
произвести произведённых
развитие развитие развитии развития
разночтение разночтения
разработать разработали
разработка разработке
рамочный рамочным
регулирование регулировании регулирования
режим режимов
российский российские российский
россия россии
рф рф
рынок рынка
сам самой
сбер сбера
свобода свобода
свой своих
сделать сделать
сейчас сейчас
склоняться склоняется
скоро скоро
создание создание
сообщение сообщении
сравнение сравнению
статья статье
страна стран
строгий строгий
суверенный суверенных
сша сша
технологический технологического
технология технологии
только только
тот том
утрата утрате
цель цель
число числе
это этом
языковой языковых
яндекс яндекса
