близкий ближайшее
больший большее
большой больше
быть будет
вероятный вероятное
вица вице
владелец владельцам
внедрение внедрением
время времени время
вы вы
год году
гораздо гораздо
данные данных
делать делал
делаться делается
доказать доказали
должный должны
доступно доступно
единственный единственным
ещё ещё
её её
запустить запустили
заявить заявил
заявление заявление
идти идёт
инжиниринг инжинирингу
интересный интересных
кей кей
количество количество
конкретный конкретные
конференция конференции
который которая которое которые который
линейка линейки
миграция миграции
много много
мочь можем
мы мы
называть называть
намекать намекал
намёк намёки
наш нашими
недавно недавно
несколько несколько
новый новой
объявление объявлений
он его
остальной остальную
офис офисе
партнёр партнёрами партнёров
передача передачу
писать пишет
планировать планируем
платформа платформы
подтвердить подтвердил
подтверждать подтверждает
полноценный полноценное
получить получат
потратить потратили
появление появление
превратить превратив
президент президент
пресс пресс
приложение приложение
присоединиться присоединятся
производитель производителем
проприетарный проприетарным
протокол протоколом
процессор процессорами
прошлый прошлом
работать работаем работает
расширение расширением
расширить расширить
речь речь
сам сам
системный системной
скоро скоро
смартфон смартфонов смартфоны
совместимость совместимости совместимость
совместимый совместима совместимо
создать создать
стать стал стала
тайбэя тайбэе
теперь теперь
только только
тот того
убедиться убедиться
увидеть увидеть
уникальный уникальной
упростить упростить
устройство устройств устройства устройствах
фишка фишки
функция функции функцию
часть часть
экосистема экосистемы
эксклюзив эксклюзивом
энергия энергии
эрик эрик
это этом
этот этой
яблочный яблочных
